URL,Player name,Born,Shoots,Country
https://en.khl.ru/players/3698/,Evgeny Alexandrov,1982-04-20,left,Russia
https://en.khl.ru/players/14929/,Andrei A. Alexeyev,1988-08-09,right,Russia
https://en.khl.ru/players/17704/,Artyom Alyayev,1995-01-17,left,Russia
https://en.khl.ru/players/39070/,Brady Austin,1993-06-16,left,Canada
https://en.khl.ru/players/19276/,Kirill Ablayev,1996-03-01,left,Russia
https://en.khl.ru/players/31163/,Yohann Auvitu,1989-07-27,left,France
https://en.khl.ru/players/22290/,Andrei Altybarmakyan,1998-08-04,left,Russia
https://en.khl.ru/players/15778/,Stanislav Alshevsky,1991-05-09,left,Russia
https://en.khl.ru/players/18488/,Evgeny Alikin,1994-10-18,left,Russia
https://en.khl.ru/players/21886/,Denis V. Alexeyev,1997-10-01,right,Russia
https://en.khl.ru/players/3739/,Oleg Antonenko,1971-07-01,right,Russia
https://en.khl.ru/players/13041/,Ruslan Abdrakhmanov,1984-12-25,left,Russia
https://en.khl.ru/players/15669/,Ilya Andryukhov,1990-05-25,left,Russia
https://en.khl.ru/players/16221/,Ramzi Abid,1980-03-24,left,Canada
https://en.khl.ru/players/24658/,Akim Aliu,1989-04-24,right,Canada
https://en.khl.ru/players/17331/,Riley Armstrong,1984-11-08,right,Canada
https://en.khl.ru/players/16003/,Daniil Apalkov,1992-01-01,left,Russia
https://en.khl.ru/players/23494/,Nerijus Alisauskas,1991-06-06,right,Lithuania
https://en.khl.ru/players/18961/,Kirill Adamchuk,1994-05-24,left,Russia
https://en.khl.ru/players/19065/,Dmitry Arsenyuk,1995-05-25,left,Russia
https://en.khl.ru/players/24606/,Arseny Akhmetov,1999-03-11,left,Russia
https://en.khl.ru/players/15517/,Ugis Avotins,1986-04-18,left,Latvia
https://en.khl.ru/players/14158/,Sergei Alexeyev,1994-06-01,left,Russia
https://en.khl.ru/players/15273/,Viktor Andrushchenko,1986-05-10,left,Belarus
https://en.khl.ru/players/12814/,Denis Arkhipov,1979-05-19,left,Russia
https://en.khl.ru/players/24928/,Taylor Aronson,1991-12-30,right,USA
https://en.khl.ru/players/4508/,Viktor Alexandrov,1985-12-28,left,Russia
https://en.khl.ru/players/30153/,Mantas Armalis,1992-09-06,left,Lithuania
https://en.khl.ru/players/24389/,Nikita Anokhovsky,1999-03-22,left,Russia
https://en.khl.ru/players/13873/,Denis Abdullin,1985-01-01,left,Russia
https://en.khl.ru/players/17599/,Artyom Antipov,1994-05-24,right,Russia
https://en.khl.ru/players/16220/,Zakhar Arzamastsev,1992-11-06,left,Russia
https://en.khl.ru/players/13121/,Maxim Afinogenov,1979-09-04,left,Russia
https://en.khl.ru/players/17585/,Miro Aaltonen,1993-06-07,left,Finland
https://en.khl.ru/players/19010/,Pontus Aberg,1993-09-23,right,Sweden
https://en.khl.ru/players/15779/,Yaroslav Alshevsky,1991-05-09,left,Russia
https://en.khl.ru/players/19771/,Vladislav Arbuzov,1995-06-21,left,Russia
https://en.khl.ru/players/30746/,Artyom Anosov,1999-09-24,left,Belarus
https://en.khl.ru/players/14556/,Konstantin Alexeyev,1988-02-26,left,Russia
https://en.khl.ru/players/35210/,Sven Andrighettо,1993-03-21,left,Switzerland
https://en.khl.ru/players/9435/,Alexander Aksyonenko,1986-03-08,left,Russia
https://en.khl.ru/players/15620/,Pavel Akolzin,1990-11-25,left,Kazakhstan
https://en.khl.ru/players/14252/,Nikita Alexeyev,1981-12-27,left,Russia
https://en.khl.ru/players/18392/,Edmunds Augstkalns,1994-08-25,left,Latvia
https://en.khl.ru/players/17573/,Adam Almquist,1991-02-27,left,Sweden
https://en.khl.ru/players/34802/,Vladimir Alistrov,2001-02-12,left,Belarus
https://en.khl.ru/players/15708/,Alexander Avtsin,1991-03-19,right,Russia
https://en.khl.ru/players/20861/,Rodrigo Abols,1996-01-05,left,Latvia
https://en.khl.ru/players/17810/,Yegor Alyoshin,1992-02-06,left,Russia
https://en.khl.ru/players/18972/,Denis Alexandrov,1995-01-17,left,Russia
https://en.khl.ru/players/13162/,Nikolai Antropov,1980-02-18,left,Kazakhstan
https://en.khl.ru/players/14914/,Rafael Akhmetov,1989-01-31,left,Russia
https://en.khl.ru/players/15063/,Vladimir Bakika,1989-02-20,left,Russia
https://en.khl.ru/players/15389/,Roberts Bukarts,1990-06-27,right,Latvia
https://en.khl.ru/players/16669/,David Bondra,1992-08-26,left,Slovakia
https://en.khl.ru/players/4512/,Maxim Belyayev,1979-08-24,left,Russia
https://en.khl.ru/players/16545/,Maris Bicevskis,1991-08-03,left,Latvia
https://en.khl.ru/players/23333/,Sheldon Brookbank,1980-10-03,right,Canada
https://en.khl.ru/players/17656/,Vladimir Butuzov,1994-05-27,right,Russia
https://en.khl.ru/players/9863/,Artyom Bulyansky,1985-03-16,left,Russia
https://en.khl.ru/players/32153/,Mathew Bodie,1990-03-07,left,Canada
https://en.khl.ru/players/17664/,Alexei Byvaltsev,1994-02-20,left,Russia
https://en.khl.ru/players/23640/,Patrik Bacik,1995-02-07,left,Slovakia
https://en.khl.ru/players/22344/,Semir Ben-Amor,1982-05-06,left,Finland
https://en.khl.ru/players/431/,Sergei Borisov,1985-10-18,left,Russia
https://en.khl.ru/players/14284/,Andrei Bashko,1982-05-23,left,Belarus
https://en.khl.ru/players/20083/,Oskars Batnja,1995-05-07,left,Latvia
https://en.khl.ru/players/17790/,Pavel Buchnevich,1995-04-17,left,Russia
https://en.khl.ru/players/33902/,Semyon Buivan,2002-02-23,left,Russia
https://en.khl.ru/players/17210/,Alexander Barabanov,1994-06-17,left,Russia
https://en.khl.ru/players/17776/,Kirill Barzman,1993-07-14,left,Russia
https://en.khl.ru/players/4087/,Alexei Badyukov,1978-04-20,right,Russia
https://en.khl.ru/players/23610/,Alexandre Bolduc,1985-06-26,left,Canada
https://en.khl.ru/players/16864/,Mark Bomersback,1982-07-08,left,Canada
https://en.khl.ru/players/21417/,Barry Brust,1983-08-08,left,Canada
https://en.khl.ru/players/10841/,Yegor Bashkatov,1971-04-23,left,Russia
https://en.khl.ru/players/30198/,Maxim Beryozkin,2001-10-12,right,Russia
https://en.khl.ru/players/15221/,Pavel Brendl,1981-03-23,right,Czech Republic
https://en.khl.ru/players/13821/,Vyacheslav Buravchikov,1987-05-22,left,Russia
https://en.khl.ru/players/10966/,Artyom Bezrukov,1982-08-01,left,Russia
https://en.khl.ru/players/13332/,Alexander Budkin,1986-09-08,right,Russia
https://en.khl.ru/players/21562/,Dmitry Buinitsky,1997-03-01,left,Belarus
https://en.khl.ru/players/14342/,Rustam Bakhriddinov,1980-09-27,left,Russia
https://en.khl.ru/players/16123/,Ivan Boiko,1991-06-27,left,Russia
https://en.khl.ru/players/14315/,Sergei Belokon,1988-08-25,right,Russia
https://en.khl.ru/players/16310/,Andrei Biryukov,1992-01-28,left,Russia
https://en.khl.ru/players/21313/,Vladimir Bobylyov,1997-04-18,left,Russia
https://en.khl.ru/players/15979/,Artyom Borodkin,1991-10-11,left,Russia
https://en.khl.ru/players/15748/,Igor Bobkov,1991-01-02,left,Russia
https://en.khl.ru/players/15746/,Kirill Bannikov,1990-05-29,left,Russia
https://en.khl.ru/players/17852/,Vladimir Bryukvin,1995-01-22,right,Russia
https://en.khl.ru/players/16578/,Alexander Bolshakov,1992-05-07,left,Russia
https://en.khl.ru/players/24708/,Viktor Bovbel,1998-06-02,left,Belarus
https://en.khl.ru/players/13769/,Anton Bukhanko,1986-07-01,right,Russia
https://en.khl.ru/players/4964/,Evgeny Belukhin,1983-08-20,left,Russia
https://en.khl.ru/players/25049/,Artyom Belotsky,1999-05-24,left,Russia
https://en.khl.ru/players/3431/,Viktor Bobrov,1984-01-01,left,Russia
https://en.khl.ru/players/20492/,Sergei Boikov,1996-01-24,left,Russia
https://en.khl.ru/players/13842/,Andrei Bashkirov,1970-06-22,left,Russia
https://en.khl.ru/players/19062/,Alexander Bryntsev,1995-05-21,left,Russia
https://en.khl.ru/players/15613/,Edijs Brahmanis,1983-11-17,right,Latvia
https://en.khl.ru/players/23764/,Semyon Babintsev,1994-10-08,left,Russia
https://en.khl.ru/players/15518/,Bryan Berard,1977-03-05,left,USA
https://en.khl.ru/players/15165/,Georgy Boyarshinov,1990-08-24,left,Russia
https://en.khl.ru/players/25268/,Brett Bellemore,1988-06-25,right,Canada
https://en.khl.ru/players/25422/,Daniels Berzins,1999-02-06,right,Latvia
https://en.khl.ru/players/10892/,Yury Babenko,1978-01-02,left,Russia
https://en.khl.ru/players/17650/,Dustin Boyd,1986-07-16,left,Kazakhstan
https://en.khl.ru/players/16672/,Fyodor Belyakov,1993-04-10,right,Russia
https://en.khl.ru/players/27280/,Taylor Beck,1991-05-13,right,Canada
https://en.khl.ru/players/18959/,Mario Bliznak,1987-03-06,left,Slovakia
https://en.khl.ru/players/30668/,Zakhar Bardakov,2001-02-24,left,Russia
https://en.khl.ru/players/25529/,Yegor Baranov,1998-12-27,left,Russia
https://en.khl.ru/players/13061/,Alexander Berkutov,1986-05-31,left,Russia
https://en.khl.ru/players/16118/,Savva Borodin,1991-12-06,left,Russia
https://en.khl.ru/players/4691/,Dmitry Bykov,1977-05-05,left,Russia
https://en.khl.ru/players/16826/,Brendan Bell,1983-03-31,left,Canada
https://en.khl.ru/players/18411/,Rihards Bukarts,1995-12-31,right,Latvia
https://en.khl.ru/players/17366/,Michal Barinka,1984-06-12,left,Czech Republic
https://en.khl.ru/players/22680/,Mikhail Belyayev,1998-01-17,left,Russia
https://en.khl.ru/players/41/,Denis Bayev,1983-11-25,left,Russia
https://en.khl.ru/players/10162/,Oskars Bartulis,1987-01-21,left,Latvia
https://en.khl.ru/players/14641/,Sergei Bobrovsky,1988-09-20,left,Russia
https://en.khl.ru/players/15696/,Nikolai Bogomolov,1991-05-30,left,Russia
https://en.khl.ru/players/26862/,Niclas Burstrom,1991-01-25,left,Sweden
https://en.khl.ru/players/4718/,Ruslan Bernikov,1977-12-04,left,Russia
https://en.khl.ru/players/19544/,Maxim Baranov,1994-03-03,left,Russia
https://en.khl.ru/players/34070/,Jacob Berglund,1991-11-17,left,Sweden
https://en.khl.ru/players/30740/,Charles Bertrand,1991-02-05,right,France
https://en.khl.ru/players/4776/,Sergei Berdnikov,1971-01-05,left,Russia
https://en.khl.ru/players/15904/,Ruben Begunts,1989-06-25,left,Russia
https://en.khl.ru/players/10846/,Maxim Balmochnykh,1979-03-07,left,Russia
https://en.khl.ru/players/14653/,Vadim Berdnikov,1987-07-07,left,Russia
https://en.khl.ru/players/26207/,Dmitry Braginsky,2000-04-13,left,Russia
https://en.khl.ru/players/13850/,Sergei Brylin,1974-01-13,left,Russia
https://en.khl.ru/players/14905/,David Buc,1987-01-22,left,Slovakia
https://en.khl.ru/players/25558/,Arseny Brinkman,2000-10-03,left,Russia
https://en.khl.ru/players/17292/,Eric Belanger,1977-12-16,left,Canada
https://en.khl.ru/players/16086/,Simon Bertilsson,1991-04-19,left,Sweden
https://en.khl.ru/players/27236/,Jesse Blacker,1991-04-19,right,Kazakhstan
https://en.khl.ru/players/19029/,Ivan Bocharov,1995-05-18,left,Russia
https://en.khl.ru/players/22027/,Gilbert Brule,1987-01-01,right,Canada
https://en.khl.ru/players/25315/,Goran Bezina,1980-03-21,left,Croatia
https://en.khl.ru/players/21991/,Valery Bochkaryov,1997-11-19,left,Russia
https://en.khl.ru/players/16777/,Tomas Bulik,1985-08-27,left,Slovakia
https://en.khl.ru/players/21039/,Timur Besharov,1996-11-23,left,Russia
https://en.khl.ru/players/21941/,Stanislav Butuzov,1996-05-31,left,Russia
https://en.khl.ru/players/20895/,Johan Backlund,1981-07-24,left,Sweden
https://en.khl.ru/players/18419/,Ilya Berestennikov,1995-08-09,left,Russia
https://en.khl.ru/players/14891/,Miroslav Blatak,1982-05-25,left,Czech Republic
https://en.khl.ru/players/31511/,Daniel Butsayev,2001-02-09,right,Russia
https://en.khl.ru/players/31877/,Beau Bennett,1991-11-27,right,USA
https://en.khl.ru/players/24138/,Ivan Belyakov,1998-03-09,left,Russia
https://en.khl.ru/players/6309/,Vladislav Bulyin,1972-05-18,left,Russia
https://en.khl.ru/players/22513/,Mikhail Berdin,1998-03-01,left,Russia
https://en.khl.ru/players/22837/,Nikolai Bogatov,1998-04-02,left,Russia
https://en.khl.ru/players/15215/,Ivan Baranka,1985-05-19,left,Slovakia
https://en.khl.ru/players/19632/,Jan Buchtele,1990-07-21,left,Czech Republic
https://en.khl.ru/players/16643/,Brandon Bochenski,1982-04-04,right,Kazakhstan
https://en.khl.ru/players/5701/,Pavel Boichenko,1975-04-30,left,Russia
https://en.khl.ru/players/5082/,Ilya Bryzgalov,1980-06-22,left,Russia
https://en.khl.ru/players/15322/,Alexander O. Burmistrov,1991-10-21,left,Russia
https://en.khl.ru/players/20553/,Nicklas Backstrom,1987-11-23,left,Sweden
https://en.khl.ru/players/39158/,Reid Boucher,1993-09-08,left,USA
https://en.khl.ru/players/5211/,Nikolai Bardin,1976-01-23,left,Russia
https://en.khl.ru/players/16170/,Josef Boumedienne,1978-01-12,left,Sweden
https://en.khl.ru/players/17735/,Alexander Brit,1994-01-14,left,Russia
https://en.khl.ru/players/16548/,Artyom Batrak,1993-03-09,left,Russia
