Profile,Player,Position,Season,Year,Team,Number,Games,Goals,Assists,Penalties,Shots,Wins,Losses,Shootouts,Goals_against,Saves,Saves_percentage,Goals_against_average,Shutouts,Icetime,Icetime_seconds
https://en.khl.ru/players/16223/,Mikael Tellqvist,Goalie,Playoffs,2013/2014,Dinamo (Riga),32.0,3,0,0,0,70,0,2,0,9,61,87.1,3.67,0,147:16,8836
https://en.khl.ru/players/16223/,Mikael Tellqvist,Goalie,Regular season,2013/2014,Dinamo (Riga),32.0,39,0,0,4,1018,21,11,7,72,946,92.9,1.86,3,2326:13,139573
https://en.khl.ru/players/16223/,Mikael Tellqvist,Goalie,Regular season,2012/2013,Dinamo (Riga),32.0,35,0,0,2,949,12,19,1,86,863,90.9,2.62,1,1972:09,118329
https://en.khl.ru/players/16223/,Mikael Tellqvist,Goalie,Playoffs,2010/2011,Dinamo (Riga),79.0,6,0,0,2,156,3,1,0,15,141,90.4,3.04,0,295:45,17745
https://en.khl.ru/players/16223/,Mikael Tellqvist,Goalie,Regular season,2010/2011,Dinamo (Riga),79.0,20,0,0,4,640,8,9,1,50,590,92.2,2.63,1,1139:33,68373
https://en.khl.ru/players/16223/,Mikael Tellqvist,Goalie,Regular season,2009/2010,Ak Bars (Kazan),32.0,11,0,0,2,253,5,3,0,24,229,90.5,2.45,0,588:13,35293
https://en.khl.ru/players/17535/,Pekka Tuokkola,Goalie,Regular season,2011/2012,Torpedo (Nizhny Novgorod Region),58.0,21,0,0,0,530,4,8,2,48,482,90.9,2.72,2,1060:16,63616
https://en.khl.ru/players/16012/,Anton Todykov,Goalie,Regular season,2020/2021,Vityaz (Moscow Region),1.0,24,0,0,0,716,10,11,0,60,656,91.6,2.91,1,1238:19,74299
https://en.khl.ru/players/16012/,Anton Todykov,Goalie,Regular season,2017/2018,Vityaz (Moscow Region),1.0,2,0,0,0,40,0,1,0,3,37,92.5,2.34,0,76:46,4606
https://en.khl.ru/players/20693/,Alexander A. Trushkov,Goalie,Regular season,2020/2021,Spartak (Moscow),1.0,10,0,1,0,245,3,5,0,26,219,89.4,3.32,0,469:44,28184
https://en.khl.ru/players/20693/,Alexander A. Trushkov,Goalie,Regular season,2019/2020,Admiral (Vladivostok),1.0,12,0,0,0,338,2,7,1,31,307,90.8,3.21,0,579:08,34748
https://en.khl.ru/players/20693/,Alexander A. Trushkov,Goalie,Regular season,2019/2020,Summary:,,12,0,0,0,338,2,7,1,31,307,90.8,3.21,0,579:08,34748
https://en.khl.ru/players/20693/,Alexander A. Trushkov,Goalie,Regular season,2018/2019,Spartak (Moscow),28.0,6,0,0,0,118,0,3,1,15,103,87.3,2.92,0,308:29,18509
https://en.khl.ru/players/20693/,Alexander A. Trushkov,Goalie,Playoffs,2017/2018,Spartak (Moscow),28.0,3,0,0,0,52,0,1,0,3,49,94.2,1.71,0,105:03,6303
https://en.khl.ru/players/20693/,Alexander A. Trushkov,Goalie,Regular season,2017/2018,Spartak (Moscow),28.0,4,0,0,0,89,1,1,0,8,81,91.0,2.96,0,162:24,9744
https://en.khl.ru/players/20693/,Alexander A. Trushkov,Goalie,Regular season,2016/2017,Spartak (Moscow),82.0,5,0,0,0,77,1,1,0,7,70,90.9,2.47,0,169:52,10192
https://en.khl.ru/players/20693/,Alexander A. Trushkov,Goalie,Regular season,2013/2014,Spartak (Moscow),28.0,1,0,0,0,15,0,0,0,2,13,86.7,3.66,0,32:45,1965
https://en.khl.ru/players/10860/,Vadim Tarasov,Goalie,Regular season,2012/2013,Salavat Yulaev (Ufa),1.0,10,0,1,0,248,2,5,3,29,219,88.3,2.99,0,581:10,34870
https://en.khl.ru/players/10860/,Vadim Tarasov,Goalie,Regular season,2011/2012,Severstal (Cherepovets),1.0,24,0,0,4,692,11,9,4,50,642,92.8,2.21,1,1356:29,81389
https://en.khl.ru/players/10860/,Vadim Tarasov,Goalie,Regular season,2010/2011,Metallurg (Novokuznetsk),1.0,28,0,1,4,638,3,16,3,77,561,87.9,3.61,1,1280:26,76826
https://en.khl.ru/players/10860/,Vadim Tarasov,Goalie,Playoffs,2009/2010,Neftekhimik (Nizhnekamsk),1.0,1,0,0,0,16,0,0,0,3,13,81.2,4.51,0,39:54,2394
https://en.khl.ru/players/10860/,Vadim Tarasov,Goalie,Regular season,2009/2010,Neftekhimik (Nizhnekamsk),1.0,30,0,0,2,649,11,11,4,74,575,88.6,2.84,0,1561:57,93717
https://en.khl.ru/players/10860/,Vadim Tarasov,Goalie,Regular season,2008/2009,Salavat Yulaev (Ufa),1.0,24,0,0,0,558,15,6,2,52,506,90.7,2.3,3,1354:49,81289
https://en.khl.ru/players/24116/,Daniil V. Tarasov,Goalie,Playoffs,2020/2021,Salavat Yulaev (Ufa),40.0,2,0,0,0,12,0,0,0,0,12,100.0,0.0,0,44:10,2650
https://en.khl.ru/players/24116/,Daniil V. Tarasov,Goalie,Regular season,2020/2021,Salavat Yulaev (Ufa),40.0,16,0,0,6,412,11,3,2,31,381,92.5,2.07,2,900:22,54022
https://en.khl.ru/players/24116/,Daniil V. Tarasov,Goalie,Regular season,2018/2019,Salavat Yulaev (Ufa),40.0,2,0,0,0,48,0,1,1,4,44,91.7,2.86,0,83:59,5039
https://en.khl.ru/players/18807/,Andrei Tikhomirov,Goalie,Playoffs,2020/2021,Torpedo (Nizhny Novgorod Region),90.0,3,0,0,0,87,0,3,0,8,79,90.8,3.19,0,150:33,9033
https://en.khl.ru/players/18807/,Andrei Tikhomirov,Goalie,Regular season,2020/2021,Torpedo (Nizhny Novgorod Region),90.0,29,0,0,2,836,8,16,2,64,772,92.3,2.49,2,1544:09,92649
https://en.khl.ru/players/18807/,Andrei Tikhomirov,Goalie,Playoffs,2019/2020,Torpedo (Nizhny Novgorod Region),90.0,3,0,0,0,95,0,3,0,7,88,92.6,2.26,0,185:37,11137
https://en.khl.ru/players/18807/,Andrei Tikhomirov,Goalie,Regular season,2019/2020,Torpedo (Nizhny Novgorod Region),90.0,33,0,2,0,973,10,13,5,79,894,91.9,2.7,2,1755:03,105303
https://en.khl.ru/players/18807/,Andrei Tikhomirov,Goalie,Regular season,2018/2019,Torpedo (Nizhny Novgorod Region),90.0,16,0,0,2,385,3,8,2,36,349,90.6,3.12,1,692:11,41531
https://en.khl.ru/players/18807/,Andrei Tikhomirov,Goalie,Regular season,2017/2018,Torpedo (Nizhny Novgorod Region),90.0,1,0,0,0,8,0,0,1,1,7,87.5,2.04,0,29:28,1768
https://en.khl.ru/players/18807/,Andrei Tikhomirov,Goalie,Regular season,2015/2016,Torpedo (Nizhny Novgorod Region),90.0,1,0,0,0,12,0,1,0,2,10,83.3,3.82,0,31:23,1883
https://en.khl.ru/players/30237/,Nikita Tolopilo,Goalie,Regular season,2020/2021,Dinamo (Minsk),31.0,3,0,1,0,78,0,3,0,8,70,89.7,2.71,0,176:58,10618
https://en.khl.ru/players/30237/,Nikita Tolopilo,Goalie,Regular season,2019/2020,Dinamo (Minsk),31.0,6,0,0,0,136,2,2,0,18,118,86.8,3.64,0,296:28,17788
https://en.khl.ru/players/4821/,Boris Tortunov,Goalie,Regular season,2008/2009,Vityaz (Moscow Region),73.0,21,0,2,42,461,1,14,4,59,402,87.2,3.98,0,890:04,53404
https://en.khl.ru/players/14288/,Alexander Tryanichev,Goalie,Regular season,2013/2014,Severstal (Cherepovets),60.0,1,0,0,0,20,1,0,0,3,17,85.0,3.04,0,59:18,3558
https://en.khl.ru/players/18946/,Iiro Tarkki,Goalie,Regular season,2013/2014,Salavat Yulaev (Ufa),35.0,4,0,0,0,138,1,2,1,13,125,90.6,3.13,0,248:51,14931
https://en.khl.ru/players/18946/,Iiro Tarkki,Goalie,Playoffs,2012/2013,Salavat Yulaev (Ufa),35.0,14,0,0,0,397,7,7,0,35,362,91.2,2.38,2,881:30,52890
https://en.khl.ru/players/18946/,Iiro Tarkki,Goalie,Regular season,2012/2013,Salavat Yulaev (Ufa),35.0,39,0,0,4,1040,20,11,6,90,950,91.3,2.37,4,2278:52,136732
https://en.khl.ru/players/21019/,Danny Taylor,Goalie,Regular season,2020/2021,Dinamo (Minsk),30.0,12,0,0,0,227,2,4,1,28,199,87.7,3.4,1,494:16,29656
https://en.khl.ru/players/21019/,Danny Taylor,Goalie,Regular season,2019/2020,Dinamo (Minsk),30.0,20,0,0,0,466,3,14,0,62,404,86.7,3.98,0,934:52,56092
https://en.khl.ru/players/21019/,Danny Taylor,Goalie,Regular season,2018/2019,Sibir (Novosibirsk Region),30.0,33,0,1,2,961,9,20,1,83,878,91.4,2.82,3,1766:42,106002
https://en.khl.ru/players/21019/,Danny Taylor,Goalie,Regular season,2016/2017,Sibir (Novosibirsk Region),30.0,29,0,0,2,750,12,11,0,45,705,94.0,1.75,5,1539:40,92380
https://en.khl.ru/players/21019/,Danny Taylor,Goalie,Regular season,2016/2017,Medvescak (Zagreb),30.0,17,0,0,22,517,7,5,3,36,481,93.0,2.23,1,968:14,58094
https://en.khl.ru/players/21019/,Danny Taylor,Goalie,Regular season,2016/2017,Summary:,,46,0,0,24,1267,19,16,3,81,1186,93.6,1.94,6,2507:54,150474
https://en.khl.ru/players/21019/,Danny Taylor,Goalie,Regular season,2015/2016,Medvescak (Zagreb),30.0,38,0,2,0,1037,16,14,3,79,958,92.4,2.28,3,2078:59,124739
https://en.khl.ru/players/21019/,Danny Taylor,Goalie,Regular season,2014/2015,Dinamo (Minsk),31.0,19,0,0,0,552,11,6,2,53,499,90.4,2.77,1,1146:30,68790
https://en.khl.ru/players/6152/,Evgeny Tsaregorodtsev,Goalie,Regular season,2010/2011,Avtomobilist (Ekaterinburg),33.0,19,0,0,30,469,3,12,1,55,414,88.3,3.53,0,935:20,56120
https://en.khl.ru/players/6152/,Evgeny Tsaregorodtsev,Goalie,Playoffs,2009/2010,Avangard (Omsk),33.0,1,0,0,0,7,0,0,0,1,6,85.7,3.0,0,20:00,1200
https://en.khl.ru/players/6152/,Evgeny Tsaregorodtsev,Goalie,Regular season,2009/2010,Avangard (Omsk),33.0,13,0,0,0,314,5,3,4,24,290,92.4,2.04,0,707:09,42429
https://en.khl.ru/players/6152/,Evgeny Tsaregorodtsev,Goalie,Playoffs,2008/2009,Avangard (Omsk),83.0,3,0,0,0,98,0,0,2,10,88,89.8,3.14,1,190:57,11457
https://en.khl.ru/players/6152/,Evgeny Tsaregorodtsev,Goalie,Regular season,2008/2009,Avangard (Omsk),83.0,6,0,0,2,121,2,2,1,11,110,90.9,2.16,0,306:15,18375
https://en.khl.ru/players/19211/,Maxim Tretyak,Goalie,Regular season,2020/2021,Sochi (Sochi),20.0,31,0,0,2,855,7,19,2,93,762,89.1,3.31,1,1687:14,101234
https://en.khl.ru/players/19211/,Maxim Tretyak,Goalie,Regular season,2019/2020,Dinamo (Riga),20.0,4,0,1,2,52,0,1,0,6,46,88.5,2.75,0,130:55,7855
https://en.khl.ru/players/19211/,Maxim Tretyak,Goalie,Regular season,2019/2020,Summary:,,4,0,1,2,52,0,1,0,6,46,88.5,2.75,0,130:55,7855
