Profile,Player,Position,Season,Games,Goals,Assists,Penalties,Shots,Wins,Losses,Shootouts,Goals_against,Saves,Saves_percentage,Goals_against_average,Shutouts,Icetime,Icetime_seconds
https://en.khl.ru/players/24914/,Ryan Zapolski,Goalie,Playoffs,11,0,0,0,342,2,8,0,29,313,91.5,2.52,0,690:16,41416
https://en.khl.ru/players/24914/,Ryan Zapolski,Goalie,KHL Total,120,0,0,0,3142,56,50,10,272,2870,91.3,2.28,13,7170:58,430258
https://en.khl.ru/players/19184/,Artyom Zagidulin,Goalie,Regular season,41,0,0,14,789,16,15,3,62,727,92.1,2.11,5,1765:31,105931
https://en.khl.ru/players/19184/,Artyom Zagidulin,Goalie,Playoffs,4,0,0,0,83,1,1,0,6,77,92.8,1.7,0,211:49,12709
https://en.khl.ru/players/19184/,Artyom Zagidulin,Goalie,KHL Total,45,0,0,14,872,17,16,3,68,804,92.2,2.06,5,1977:20,118640
https://en.khl.ru/players/2820/,Sergei Zvyagin,Goalie,Regular season,12,0,0,0,235,4,4,0,27,208,88.5,3.27,0,496:06,29766
https://en.khl.ru/players/2820/,Sergei Zvyagin,Goalie,Playoffs,1,0,0,0,6,0,0,0,0,6,100.0,0.0,0,20:00,1200
https://en.khl.ru/players/2820/,Sergei Zvyagin,Goalie,KHL Total,13,0,0,0,241,4,4,0,27,214,88.8,3.14,0,516:06,30966
https://en.khl.ru/players/14930/,Alexander Zalivin,Goalie,Regular season,6,0,0,0,178,0,3,2,16,162,91.0,3.1,0,309:40,18580
https://en.khl.ru/players/14930/,Alexander Zalivin,Goalie,KHL Total,6,0,0,0,178,0,3,2,16,162,91.0,3.1,0,309:40,18580
